URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle,
# 'Unique' character help images,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-PkWfJCP/0/3c6089e9/M/050319_715-M.jpg,,,100%,image-web,,<i>Bombus californicus</i> on golden paintbrush. Bumblebees are the key pollinators of this endangered species.,,Unique,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-dVCNC3z/0/f1d5f890/O/Eucera.4-22-21.Finley.jpg,,,100%,image-web,4,<i>Coelioxys</i>  body shape,,Unique,Coelioxys,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-GDFQ9Ds/0/b57e6cc9/L/coelioxys spines-L.jpg,,,100%,image-web,3,,,Unique,Coelioxys,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Dtx2JQr/1/1fbe848c/M/Sphecodes.Kingston-M.jpg,,,100%,image-web,2,There is at least one <i>Lasioglossum</i> that share this coloration - other characters will differentiate it.,,Unique,Sphecodes,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-LHV9G53/0/bcb8f9a7/X4/hylaeus-X4.jpg,,,100%,image-web,5,,,Unique,Hylaeus,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-wLNqGwQ/0/da8e39b6/L/bombus.amazon-L.jpg,,,100%,image-web,1,"<i>Bombus californicus</i>, male",,Unique,Bombus,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/Focus-stacked-examples/i-NHk9QDr/1/b9bd2542/L/Eucera.4-22-21.Finley-L.jpg,,,100%,image-web,5,<i>Eucera and Melissodes</i>: long-horned bees. The antennal feature is for males only.,,Unique,long antennae,,,
# 'Sex' character help images,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-rJ2S7FS/0/f2f18159/L/sex antenna-L.jpg,,,100%,image-web,,,,Sex,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-B6dPPq2/0/8910c888/L/Megachile.brevis.lateral.IAE103511-L.jpg,,,100%,image-web,1,Female <i>Megachile brevis</i> - showing (abdominal) scopae and stinger,,Sex,female,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Nf7fZZB/0/9f514ead/L/Megachile.6-3-2021.megachile-L.jpg,,,100%,image-web,2,Male <i>Megachile</i> with abundant hair on face and forelegs; all males lack scopae,,Sex,male,,,
#,,,,,,,,,,,,
# 'Body size' character help images,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-q3ckq5m/0/e65e7ed0/L/Eucera%20and%20Lasio%20size-L.jpg,,,100%,image-web,,"<i>Eucera, Hylaeus</i>",,BodySize,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Jsr3psC/0/3237f9da/L/size small-L.jpg,,,200%,image-web,,,,BodySize,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-mNnndHr/0/e0668ef8/L/size large-L.jpg,,,300%,image-web,,,,BodySize,,,,
# 'Hairiness' character help images,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-RQXpCkF/0/a60acf5b/M/062019_2804-M.jpg,,,100%,image-web,,<i>Melissodes</i>: seriously hairy,,BodyHair,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-r85mwJs/0/a374ef39/O/hairless.jpg,,,100%,image-web,,,,BodyHair,little,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-LXNshgR/0/456b0696/L/typical-L.jpg,,,100%,image-web,,,,BodyHair,moderate,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-T4kJ6cL/0/3cad5d9b/M/hairy-M.jpg,,,100%,image-web,,,,BodyHair,very,,,
# 'Body color' character help images,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-3bFNC3J/0/c56ab347/L/osmia.6-8-2021.jefferson-L.jpg,,,100%,image-web,,<i>Osmia</i>: metallic,,BodyColor,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-sJ38Svt/0/8cefdbf4/L/brown or black body-L.jpg,,,100%,image-web,,,,BodyColor,brown or black,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-vcZSb3p/0/8d33d203/XL/body color-XL.jpg,,,100%,image-web,,,,BodyColor,metallic,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/42025614/large.jpg,,,100%,image-web,,,,BodyColor,faint metallic,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-SR68fhk/0/bb26d8a6/L/abd color-L.jpg,,,100%,image-web,,,,BodyColor,marked by color,,,
# 'SMC' character help images,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-bNfbm5C/0/7658c60f/XL/wing cells (andrena ms1)-XL.jpg,,,100%,image-web,,Position of SMC on forewing,,SMC,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-D8cq859/0/fe05f38b/M/2 smc-M.jpg,,,100%,image-web,,Two submarginal cells,,SMC,2,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-mPDsgCm/0/cfadfa0e/M/3 smc-M.jpg,,,100%,image-web,,Three submarginal cells,,SMC,3,,,
# 'Basal vein' character help images,,,,,,,,,,,,
